"bu_code","bu_naam","parkeren_pct","auto_pct","voet_pct","fiets_pct"
"BU09620009","Verspreide huizen",0.01,0.67,0.23,0.08
"BU09650009","Verspreide huizen",0.07,0.80,0.05,0.07
"BU17060308","Hugten",0.02,0.92,0.00,0.07
"BU09952551","Houtribhoogte Zuid",0.20,0.51,0.26,0.02
"BU09952552","Houtribhoogte Noord",0.07,0.71,0.13,0.09
"BU09940007","Plenkert",0.18,0.48,0.32,0.02
"BU09940008","Euverem",0.01,0.57,0.42,0.00
"BU09940403","Geulhem",0.14,0.65,0.22,0.00
"BU09957887","Larservaartbos",0.00,0.79,0.00,0.21
"BU15810102","Landelijk Gebied zuidzijde",0.00,0.88,0.07,0.05
"BU15810302","Overberg en De Haar",0.01,0.96,0.02,0.01
"BU15810409","in de Geldersche Vallei",0.01,0.86,0.09,0.04
"BU15980200","Zuidermeer en omgeving",0.03,0.92,0.05,0.00
"BU16400501","Haelen",0.01,0.90,0.03,0.06
"BU16401201","Haler",0.00,0.92,0.00,0.08
"BU16510108","Eemshavengebied",0.07,0.76,0.14,0.04
"BU16400000","Kern Heythuysen",0.11,0.60,0.25,0.05
"BU16400201","Roggel",0.01,0.92,0.02,0.04
"BU16400300","Kern Neer",0.09,0.69,0.18,0.04
"BU16400801","Baexem",0.00,0.92,0.00,0.08
"BU16401401","Neeritter",0.06,0.88,0.01,0.05
"BU16550409","ten noorden van Hoeven",0.01,0.92,0.06,0.01
"BU16690101","Montfort",0.06,0.64,0.28,0.02
"BU16690109","Buitengebied Montfort",0.01,0.83,0.13,0.03
"BU16690409","Buitengebied Posterholt",0.03,0.89,0.05,0.04
"BU16690509","Buitengebied Herkenbosch",0.06,0.60,0.29,0.05
"BU16761009","Kerkwerve",0.01,0.85,0.01,0.13
"BU16760309","Dreischor",0.01,0.94,0.03,0.03
"BU16761208","in het Kleigebied",0.01,0.95,0.01,0.03
"BU16761509","Serooskerke",0.00,0.80,0.06,0.14
"BU16800509","Schipborg",0.00,0.91,0.05,0.04
"BU16801909","Rolde",0.00,0.82,0.10,0.07
"BU16811609","Valthermond",0.00,0.88,0.04,0.08
"BU16840419","Beers buitengebied",0.02,0.89,0.02,0.07
"BU16901009","Ansen",0.00,0.93,0.01,0.06
"BU16960300","Oud-Loosdrecht",0.19,0.58,0.11,0.12
"BU16960500","Breukeleveen",0.11,0.75,0.14,0.00
"BU02280402","De Bossen",0.14,0.53,0.30,0.03
"BU17000307","Buurtschap Meer",0.02,0.88,0.02,0.08
"BU17010809","Havelte",0.02,0.88,0.03,0.07
"BU17010909","Uffelte",0.00,0.87,0.02,0.11
"BU17090900","Willemstad",0.13,0.47,0.34,0.07
"BU17080809","Leeuwte (gedeeltelijk)",0.04,0.96,0.00,0.00
"BU17090303","Industrieterrein Moerdijk",0.07,0.84,0.02,0.07
"BU17090309","Klundert",0.00,0.88,0.04,0.08
"BU17110313","Heide",0.01,0.81,0.01,0.17
"BU17110103","Mariaveld",0.10,0.56,0.33,0.01
"BU17110104","Middelveld",0.11,0.52,0.31,0.06
"BU17110209","Dieteren",0.07,0.63,0.30,0.00
"BU17110547","Buitengebied de Berk",0.11,0.52,0.15,0.22
"BU17140701","Cadzand-Bad",0.14,0.56,0.14,0.17
"BU17190409","Lage Zwaluwe",0.00,0.80,0.05,0.14
"BU17290509","Verspreide huizen",0.04,0.91,0.05,0.00
"BU17220109","Hallum",0.01,0.92,0.00,0.07
"BU17230209","Strijbeek",0.00,0.90,0.00,0.10
"BU17240001","Broekstraat-Hoek-Lijnt-Eijkereind",0.01,0.67,0.02,0.30
"BU17240006","Kept e.o.",0.15,0.60,0.25,0.00
"BU18951009","Nieuwolda",0.01,0.92,0.01,0.06
"BU17300809","Eelderwolde",0.10,0.69,0.10,0.11
"BU17310209","Hooghalen",0.01,0.90,0.02,0.07
"BU17310601","Smilde-Noord",0.01,0.83,0.04,0.12
"BU17350206","Markelerbroek",0.00,0.98,0.00,0.01
"BU17400107","Echteld",0.01,0.93,0.01,0.05
"BU17400008","Opheusden",0.01,0.93,0.01,0.05
"BU17730728","Buitengebied Den Nul",0.02,0.92,0.05,0.01
"BU17731233","Herxen",0.03,0.89,0.03,0.06
"BU17741099","Buitengebied Denekamp",0.00,0.91,0.01,0.08
"BU17741599","Buitengebied Ootmarsum-West",0.02,0.71,0.07,0.20
"BU17741699","Weerselo",0.00,0.94,0.01,0.05
"BU17741899","Saasveld",0.00,0.92,0.01,0.06
"BU17830521","Kust Monster",0.09,0.22,0.09,0.59
"BU18420005","Negenhuizen en Zouteveen",0.02,0.72,0.12,0.14
"BU18590007","Geesteren",0.00,0.90,0.03,0.07
"BU19041213","Antilopespoor",0.18,0.35,0.39,0.07
"BU00140812","De Kring",0.09,0.59,0.32,0.00
"BU18590309","Neede",0.01,0.86,0.03,0.10
"BU18760103","Zelhem",0.01,0.85,0.06,0.08
"BU18760207","Linde Mossel en Wildenborch",0.00,0.93,0.02,0.05
"BU18840109","Overige verspreide huizen",0.05,0.87,0.05,0.03
"BU18910108","Driezum",0.01,0.80,0.15,0.04
"BU18920207","Recreatiepark De Korenmolen",0.22,0.68,0.10,0.00
"BU18960310","Streukel-Holten-Genne",0.00,0.86,0.01,0.13
"BU18960409","Landelijk gebied Zwartsluis",0.00,0.93,0.01,0.06
"BU19000202","Hindeloopen",0.15,0.56,0.27,0.02
"BU19000208","Workum",0.13,0.79,0.03,0.05
"BU19001503","Kornwerderzand",0.00,0.86,0.01,0.12
"BU19001809","Gaast",NULL,NULL,NULL,NULL
"BU19002014","Kûbaard",0.00,0.97,0.02,0.01
"BU19040101","Maarsseveen",0.13,0.52,0.23,0.12
"BU19040107","Omgeving Goudestein",0.12,0.50,0.38,0.00
"BU19040110","Centrum ten zuiden van de Vecht",0.13,0.43,0.37,0.07
"BU19110408","Oeverpolder",0.00,0.95,0.01,0.04
"BU19040401","Polder Oukoop",0.00,0.98,0.01,0.01
"BU19040301","Polder Holland",0.05,0.63,0.14,0.18
"BU19040302","Polder Garsten",0.00,0.99,0.00,0.01
"BU19040503","Polder Spengen",0.03,0.81,0.10,0.06
"BU19040703","Tienhoven-Oud Maarsseveen",0.06,0.78,0.07,0.09
"BU19040903","Polder Sticht",0.01,0.87,0.11,0.01
"BU19040905","Nieuwersluis",0.07,0.81,0.11,0.00
"BU19041201","Verbindingswegen",0.02,0.92,0.02,0.05
"BU19110405","Stroe",0.00,0.99,0.00,0.01
