bu_naam;parkeren_pct;auto_pct;voet_pct;fiets_pct
Broekstraat-Hoek-Lijnt-Eijkereind;0.01;0.67;0.02;0.30
Kept e.o.;0.15;0.60;0.25;0.00
Nieuwolda;0.01;0.92;0.01;0.06
Eelderwolde;0.10;0.69;0.10;0.11
Hooghalen;0.01;0.90;0.02;0.07
Smilde-Noord;0.01;0.83;0.04;0.12
Markelerbroek;0.00;0.98;0.00;0.01
Echteld;0.01;0.93;0.01;0.05
Opheusden;0.01;0.93;0.01;0.05
Buitengebied Den Nul;0.02;0.92;0.05;0.01
Herxen;0.03;0.89;0.03;0.06
Buitengebied Denekamp;0.00;0.91;0.01;0.08
Buitengebied Ootmarsum-West;0.02;0.71;0.07;0.20
Weerselo;0.00;0.94;0.01;0.05
Saasveld;0.00;0.92;0.01;0.06
Kust Monster;0.09;0.22;0.09;0.59
Negenhuizen en Zouteveen;0.02;0.72;0.12;0.14
Geesteren;0.00;0.90;0.03;0.07
Antilopespoor;0.18;0.35;0.39;0.07
De Kring;0.09;0.59;0.32;0.00
Neede;0.01;0.86;0.03;0.10
Zelhem;0.01;0.85;0.06;0.08
Linde Mossel en Wildenborch;0.00;0.93;0.02;0.05
Overige verspreide huizen;0.05;0.87;0.05;0.03
Driezum;0.01;0.80;0.15;0.04
Recreatiepark De Korenmolen;0.22;0.68;0.10;0.00
Streukel-Holten-Genne;0.00;0.86;0.01;0.13
Landelijk gebied Zwartsluis;0.00;0.93;0.01;0.06
Hindeloopen;0.15;0.56;0.27;0.02
Workum;0.13;0.79;0.03;0.05
Kornwerderzand;0.00;0.86;0.01;0.12
Gaast;NULL;NULL;NULL;NULL
Kûbaard;0.00;0.97;0.02;0.01
Maarsseveen;0.13;0.52;0.23;0.12
Omgeving Goudestein;0.12;0.50;0.38;0.00
Centrum ten zuiden van de Vecht;0.13;0.43;0.37;0.07
Oeverpolder;0.00;0.95;0.01;0.04
Polder Oukoop;0.00;0.98;0.01;0.01
Polder Holland;0.05;0.63;0.14;0.18
Polder Garsten;0.00;0.99;0.00;0.01
Polder Spengen;0.03;0.81;0.10;0.06
Tienhoven-Oud Maarsseveen;0.06;0.78;0.07;0.09
Polder Sticht;0.01;0.87;0.11;0.01
Nieuwersluis;0.07;0.81;0.11;0.00
Verbindingswegen;0.02;0.92;0.02;0.05
Stroe;0.00;0.99;0.00;0.01
Kreileroord;0.00;0.86;0.07;0.07
Buitengebied Wieringerwaard;0.00;0.95;0.00;0.04
Stellendam haven;0.11;0.80;0.05;0.05
Stellendam buitengebied;0.02;0.87;0.02;0.09
Den Bommel buitengebied;0.01;0.91;0.01;0.08
Sommelsdijk buitengebied;0.04;0.87;0.03;0.06
Dirksland buitengebied;0.02;0.88;0.03;0.06
Herkingen buitengebied;0.03;0.80;0.01;0.16
Nieuwe-Tonge buitengebied;0.02;0.81;0.02;0.15
Stad aan 't Haringvliet buitengebied;0.01;0.86;0.02;0.11
Wijngaarden;0.03;0.85;0.07;0.05
Mekkelholt;0.10;0.47;0.41;0.01
Verspr. huizen Lekkerkerk;0.03;0.83;0.10;0.05
Zevender;0.02;0.75;0.06;0.18
Mirns;0.10;0.81;0.02;0.07
Rotstergaast;0.00;0.99;0.01;0.00
Rottum;0.02;0.76;0.10;0.12
Tjerkgaast;0.01;0.88;0.05;0.06
Buitengebied Berg en Dal;0.04;0.75;0.15;0.06
Buitengebied Boerdonk;0.00;0.89;0.00;0.11
Buitengebied Broekkant;0.01;0.82;0.02;0.14
Vogelbuurt;0.07;0.56;0.35;0.01
Plein 1;0.13;0.47;0.37;0.03
Buitengebied Olland;0.00;0.91;0.00;0.09
Oosterbierum - Verspreide huizen;0.01;0.95;0.00;0.03
Tzum - Verspreide huizen;0.00;0.95;0.01;0.05
Achlum - Verspreide huizen;0.00;0.88;0.01;0.10
Dronryp - Verspreide huizen;0.01;0.94;0.01;0.05
Vlagtwedde;0.01;0.79;0.06;0.14
Veele;0.01;0.91;0.04;0.04
Noordwolde;0.04;0.76;0.20;0.00
Paterserf;0.12;0.55;0.28;0.05
Kiel-Windeweer;0.01;0.94;0.03;0.02
Krewerd;0.02;0.87;0.11;0.00
Bierum;0.00;0.90;0.07;0.04
Wagenborgen;0.08;0.68;0.22;0.02
Overschild Buitengebied;0.01;0.92;0.01;0.06
Steendam;0.09;0.73;0.08;0.10
Stationsgebied;0.06;0.42;0.39;0.14
Garmerwolde;0.05;0.77;0.13;0.06
Oosterpoort;0.10;0.45;0.41;0.04
Braamt;0.06;0.81;0.01;0.12
Herewegbuurt;0.09;0.51;0.34;0.06
Rivierenbuurt;0.09;0.50;0.36;0.05
Thesinge;0.10;0.74;0.15;0.01
Appingedam-Centrum;0.13;0.53;0.32;0.02
Sint-Annen;0.02;0.86;0.02;0.10
Parkwijk;0.13;0.39;0.37;0.11
Verzetswijk;0.14;0.40;0.37;0.10
Appingedam-West;0.04;0.66;0.25;0.05
Bedum;0.14;0.55;0.29;0.02
Zuidwolde;0.09;0.69;0.15;0.07
Het Witte Lam;0.00;0.90;0.06;0.04
Muziekwijk Noord;0.14;0.46;0.34;0.06
Appingedam-Oost;0.12;0.58;0.24;0.06
Ten Boer;0.10;0.57;0.28;0.05
Godlinze;0.05;0.79;0.16;0.00
Bedum;0.01;0.84;0.04;0.11
Waterwijk;0.13;0.41;0.38;0.08
Lellens;0.05;0.88;0.08;0.00
Damsterdiep en Eemskanaal;0.02;0.71;0.25;0.01
Onderdendam;0.05;0.65;0.24;0.06
Niehove;0.01;0.84;0.14;0.01
Noordwolde;0.02;0.85;0.04;0.09
Tussen de Vaarten Noord;0.14;0.48;0.28;0.10
Tussen de Vaarten Zuid;0.13;0.48;0.33;0.07
Achter-Thesinge en Bovenrijge;0.00;0.92;0.02;0.06
ten noorden van het Eemskanaal;0.02;0.81;0.03;0.14
ten zuiden van Eemskanaal;0.00;0.85;0.11;0.04
ten noorden van het Damsterdiep;0.01;0.85;0.12;0.02
Spijk;0.03;0.71;0.22;0.03
Ten Post;0.05;0.73;0.17;0.06
Onderdendam;0.00;0.82;0.09;0.09
Winneweer (gedeeltelijk);0.06;0.94;0.00;0.00
Woltersum;0.07;0.82;0.12;0.00
Zuidwolde;0.03;0.81;0.02;0.14
Wittewierum;0.00;0.93;0.03;0.03
ten noorden van het Eemskanaal;0.01;0.93;0.00;0.05
Delfzijl-Centrum;0.15;0.46;0.36;0.03
Farmsum;0.11;0.65;0.17;0.07
Tuikwerd;0.07;0.53;0.24;0.16
Meedhuizen;0.07;0.75;0.18;0.00
Uitwierde;0.06;0.79;0.12;0.02
De Meeuwen;0.06;0.55;0.34;0.05
Delfzijl-Noord;0.14;0.48;0.31;0.07
Delfzijl-West;0.10;0.55;0.29;0.07
Hortusbuurt-Ebbingekwartier;0.06;0.37;0.52;0.06
Grunobuurt;0.11;0.51;0.34;0.05
Callantsoog;0.04;0.76;0.13;0.06
Fivelzigt;0.07;0.52;0.25;0.16
Holwierde;0.08;0.66;0.22;0.03
Woldendorp;0.10;0.66;0.24;0.00
UMCG;0.03;0.52;0.30;0.15
Termunterzijl;0.13;0.62;0.25;0.00
Staatsliedenwijk;0.21;0.34;0.37;0.08
Borgsweer;0.02;0.71;0.25;0.01
Eemskanaal (ten zuiden);0.03;0.87;0.08;0.02
Industrieterrein;0.13;0.77;0.03;0.07
Termunten;0.05;0.73;0.20;0.01
Kruidenwijk;0.12;0.45;0.32;0.11
Losdorp;0.03;0.72;0.19;0.07
in het noorden;0.04;0.57;0.07;0.32
Binnenstad-Zuid;0.06;0.30;0.59;0.04
Binnenstad-Oost;0.09;0.42;0.45;0.03
Binnenstad-West;0.05;0.36;0.57;0.02
Noorderplantsoen;0.04;0.35;0.38;0.24
Grijpskerk;0.02;0.84;0.03;0.11
Wagenborgen;0.02;0.83;0.08;0.07
Termunten;0.02;0.86;0.07;0.05
Bierum;0.02;0.72;0.25;0.02
Binnenstad-Noord;0.10;0.28;0.62;0.00
Badstratenbuurt;0.10;0.37;0.44;0.09
Zeeheldenbuurt;0.07;0.55;0.30;0.07
Laanhuizen;0.09;0.54;0.32;0.06
Stadspark;0.05;0.60;0.29;0.06
Martini Trade Park;0.03;0.72;0.17;0.08
Oranjebuurt;0.07;0.42;0.44;0.08
Stedenwijk;0.14;0.31;0.44;0.11
Noorderplantsoenbuurt;0.08;0.44;0.46;0.02
Schildersbuurt;0.08;0.46;0.42;0.05
Kostverloren;0.04;0.50;0.42;0.04
De Hoogte;0.10;0.51;0.34;0.04
Indische buurt;0.10;0.40;0.45;0.05
Professorenbuurt;0.11;0.43;0.41;0.06
Gorechtbuurt;0.09;0.43;0.44;0.04
Vogelbuurt;0.12;0.44;0.43;0.01
